習い事_教室名,習い事_住所,習い事_アクセス,習い事_対象学年,習い事_備考,習い事_URL,習い事_経度,習い事_緯度,習い事_ジャンル_バレエ,習い事_ジャンル_音楽教室,習い事_ジャンル_バスケットボール,習い事_ジャンル_書道・習字,習い事_ジャンル_スイミング・水泳,習い事_ジャンル_柔道,習い事_ジャンル_英語・英会話,習い事_ジャンル_ピアノ,習い事_ジャンル_ダンス,習い事_ジャンル_野球・ソフトボール,習い事_ジャンル_幼児教室,習い事_ジャンル_合気道,習い事_ジャンル_サッカー・フットサル,習い事_ジャンル_テニス,習い事_ジャンル_新体操,習い事_ジャンル_学習塾,習い事_ジャンル_運動・体操,習い事_ジャンル_剣道,習い事_ジャンル_絵画・造形,習い事_ジャンル_空手・拳法,習い事_ジャンル_ラグビー,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
学研 しかごう教室,和歌山県和歌山市有本371-2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123852,34.2504387,135.2022054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
すくすく知育教室,和歌山県和歌山市杭ノ瀬157-24,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123971,34.2112127,135.1941354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市杭ノ瀬,宮前地区,第6ブロック,中心部地域,1
学研 北島教室,和歌山県和歌山市北島331ー3,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123780,34.241597,135.1556096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市北島,野崎地区,第2ブロック,北部地域,3
個別指導Axis 楠見校,和歌山県和歌山市粟248キューブN,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123735,34.2532573,135.1733478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市粟,楠見地区,第2ブロック,北部地域,3
こそね教室,和歌山県和歌山市西小二里1丁目3－35,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032703,34.2055212,135.1636172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西小二里1,雑賀地区,第7ブロック,南部地域,7
ITTO個別指導学院 有本校,和歌山県和歌山市有本8-5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123993,34.2445002,135.191374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
Ｂｅｇｉｎ,和歌山県和歌山市松島120－27,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032633,34.2473469,135.2114562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
アップル幼児教室,和歌山県和歌山市友田町2丁目145,,,,https://sp-sukusuku.jp/kyoushitsu/s18000053610,34.2319133,135.1854626,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
秀英塾,和歌山県和歌山市園部97,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032666,34.2688154,135.1914227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
学研 山口教室,和歌山県和歌山市湯屋谷15-1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123812,34.2776169,135.2749557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市湯屋谷,山口地区,第3ブロック,北東部地域,4
mash art チョークアート教室,和歌山県和歌山市狐島379,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123990,34.244564,135.1516068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域,3
ＧＥＳ／ターミナル校２号館,和歌山県和歌山市太田1丁目13－21,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032753,34.2318294,135.1935807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
江並塾,和歌山県和歌山市松江中3丁目6－19,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032743,34.2476983,135.1320943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松江中1,松江地区,第1ブロック,北西部地域,2
紀州学習塾,和歌山県和歌山市上町46,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032885,34.2295638,135.1623756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市上町,雄湊地区,第9ブロック,中心部地域,1
学研 加納教室,和歌山県和歌山市加納6-23,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123837,34.25132809999999,135.2069315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市加納,四箇郷地区,第4ブロック,東部地域,5
ナルミ音楽教室バイエル,和歌山県和歌山市本町2丁目10,,,,https://sp-sukusuku.jp/kyoushitsu/s18000048845,34.2344425,135.1744549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市本町1,本町地区,第9ブロック,中心部地域,1
イクウェル（ＥＱＷＥＬ）チャイルドアカデミー和歌山北教室,和歌山県和歌山市次郎丸98－4,,,,https://sp-sukusuku.jp/kyoushitsu/s18000053612,34.2534972,135.1455585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域,3
極真会館 和歌山支部 和歌浦教室,和歌山県和歌山市和歌浦東1-1-12,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123752,34.1967452,135.1700306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,和歌山県和歌山市和歌浦東1,和歌浦地区,第7ブロック,南部地域,7
個別指導Axis 小松原校,和歌山県和歌山市吹上4-1-1アズマハウス吹上ビル,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123739,34.2169155,135.1697564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
学研 楠見教室,和歌山県和歌山市大谷34-1(カフェ・ド・ベル内),,,,https://sp-sukusuku.jp/kyoushitsu/s18000123789,34.258595,135.180747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市大谷,楠見地区,第2ブロック,北部地域,3
紀州武道塾,和歌山県和歌山市葵町11-21　葵道場、和歌山放送カルチャー,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123763,34.2130067,135.1629563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市葵町,今福地区,第8ブロック,中心部地域,1
公文式／小雑賀教室,和歌山県和歌山市小雑賀110,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032699,34.2038023,135.1815584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市小雑賀,宮前地区,第6ブロック,中心部地域,1
ＴＳ進学塾／木ノ本教室,和歌山県和歌山市木ノ本122－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000040957,34.2568754,135.1255346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
和教学院,和歌山県和歌山市新庄391,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032710,34.2303678,135.1707405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市新庄,小倉地区,第4ブロック,東部地域,5
学研教室／和歌山事務局,和歌山県和歌山市太田2丁目14－11－202,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032567,34.2322227,135.1960704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
学研 西高松教室,和歌山県和歌山市西高松2丁目11-45,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123804,34.2054339,135.1686961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西高松1,吹上地区,第8ブロック,中心部地域,1
開成アカデミー 和歌山駅前校,和歌山県和歌山市美園町5丁目3-1雑村ビル4F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123862,34.23074709999999,135.1897159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
株式会社喜望ゼミナール本部,和歌山県和歌山市吹屋町5丁目2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032541,34.2261813,135.1902668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
合気道神武塾道場,和歌山県和歌山市津秦138－5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000002275,34.2180934,135.2027631,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,和歌山県和歌山市津秦,宮地区,第6ブロック,中心部地域,1
堀川塾,和歌山県和歌山市関戸1丁目4－57,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032634,34.2017085,135.1677139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域,7
明光義塾和歌山駅前教室,和歌山県和歌山市太田1丁目11－13－3Ｆ－Ｄ,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032763,34.2315765,135.1930524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
明星塾／秋月教室,和歌山県和歌山市秋月85－13,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032847,34.2345657,135.206077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
ＧＥＳ／楠見校,和歌山県和歌山市善明寺301,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032694,34.2616086,135.1864684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域,3
喜望ゼミナール知能教育トライアングル,和歌山県和歌山市吹屋町5丁目40－5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032719,34.2253685,135.1903821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
学研 直川小学校前教室,和歌山県和歌山市直川1233-8,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123797,34.2626926,135.2162138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市直川,有功地区,第3ブロック,北東部地域,4
能開センター／和歌山校／小学部,和歌山県和歌山市太田1丁目9－9,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032607,34.2312643,135.1923391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
ヤマハ音楽教室 ふじと台センター,和歌山県和歌山市中573-19エスタシオン東棟2F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123925,34.2764034,135.1474771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市中,貴志地区,第2ブロック,北部地域,3
ヤマハ音楽教室 六十谷センター,和歌山県和歌山市六十谷748MMKビル3F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123893,34.2687685,135.2032778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
パルポート／ワカヤマ,和歌山県和歌山市湊御殿1丁目1－1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000051130,34.2230832,135.1581398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市湊御殿1,砂山地区,第8ブロック,中心部地域,1
学研 大浦スマイル教室,和歌山県和歌山市西浜1079-7,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123802,34.1919337,135.1537338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
PETERSOX こども将棋教室,和歌山県和歌山市福島28ハウスブルーネ1F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123988,34.2475763,135.1646562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市福島,野崎地区,第2ブロック,北部地域,3
大河内珠算会,和歌山県和歌山市大河内533－4,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056920,34.1965851,135.2607815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市大河内,東山東地区,第5ブロック,南東部地域,6
和歌山武道館剣道錬成クラブ,和歌山県和歌山市和歌浦西2丁目1-22県立武道館、西浜11,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123637,34.1911832,135.1658992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,和歌山県和歌山市和歌浦西1,和歌浦地区,第7ブロック,南部地域,7
山本忠男,和歌山県和歌山市島橋東ノ丁3－23,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056932,34.2449275,135.1491145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市島橋東ノ丁,野崎地区,第2ブロック,北部地域,3
学研 大新教室,和歌山県和歌山市新堺丁38(田村将棋・囲碁店1階),,,,https://sp-sukusuku.jp/kyoushitsu/s18000123801,34.2341901,135.1793824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市新堺丁,大新地区,第10ブロック,中心部地域,1
学研 有功教室,和歌山県和歌山市園部1037-4コーポラスそのべ2-1号,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123776,34.2699868,135.1908075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
ムービンハイダンススタジオ,和歌山県和歌山市友田町4-50ゴトウ本店JR和歌山駅前店2階,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123934,34.2321128,135.189303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
田尻学泉会,和歌山県和歌山市田尻230－6,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032784,34.2066003,135.1991618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市田尻,三田地区,第5ブロック,南東部地域,6
木上塾大新教室,和歌山県和歌山市岡円福院東ノ丁25,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032922,34.2339653,135.1828775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市岡円福院東ノ丁,大新地区,第10ブロック,中心部地域,1
新極真会　和歌山支部　市民体育館道場・紀三井寺道場,和歌山県和歌山市土入318-1,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123684,34.2530282,135.1393587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,和歌山県和歌山市土入,貴志地区,第2ブロック,北部地域,3
智辯進学スクール,和歌山県和歌山市黒田2丁目2－22,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032572,34.2327793,135.1960704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
個別指導ゴールウェイ,和歌山県和歌山市吉田464,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032590,34.2348238,135.1892208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市吉田,宮北地区,第6ブロック,中心部地域,1
公文式／秋葉山教室,和歌山県和歌山市秋葉町27－26,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032925,34.1996646,135.1695381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市秋葉町,高松地区,第8ブロック,中心部地域,1
和歌山ラグビースクール,和歌山県和歌山市毛見200,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123640,34.1667273,135.1917964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,和歌山県和歌山市毛見,名草地区,第7ブロック,南部地域,7
明光義塾 和歌山小松原教室,和歌山県和歌山市小松原6-1-8福寿金庫ビル2F,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123645,34.21638170000001,135.1693542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市小松原5,砂山地区,第8ブロック,中心部地域,1
八幡台ジュニアサッカークラブ,和歌山県和歌山市西庄,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123654,34.2650856,135.1163521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
藤井計算実務学校,和歌山県和歌山市太田586,,,,https://sp-sukusuku.jp/kyoushitsu/s18000056935,34.23156700000001,135.1984469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
ＩＴＴＯ個別指導学院有本校,和歌山県和歌山市有本8－5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032754,34.2445002,135.191374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
進学塾エッグ広瀬校,和歌山県和歌山市広瀬通丁1丁目24,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032842,34.2261108,135.1804704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市広瀬通丁1,広瀬地区,第10ブロック,中心部地域,1
智辯医学部進学ゼミ,和歌山県和歌山市黒田2丁目2－22,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032799,34.2327793,135.1960704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
学研 松ヶ丘教室,和歌山県和歌山市松ケ丘1-7-14,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123810,34.2303678,135.1707405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松ケ丘1,雑賀地区,第7ブロック,南部地域,7
学研 安原ふゆの教室,和歌山県和歌山市冬野223-25,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123842,34.1923022,135.2129727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市冬野,安原地区,第5ブロック,南東部地域,6
個別指導Ｗａｍ／河西貴志校／高等部,和歌山県和歌山市土入21－9,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032866,34.253673,135.1414474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市土入,貴志地区,第2ブロック,北部地域,3
東進衛星予備校 和歌山鳴滝校,和歌山県和歌山市園部596-170,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123672,34.2637571,135.1885378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
スプラウト和歌山サッカークラブ,和歌山県和歌山市北出島,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123959,34.2187193,135.1997756,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,和歌山県和歌山市北出島,宮地区,第6ブロック,中心部地域,1
学研 貴志教室,和歌山県和歌山市栄谷893-8久保ビル1階,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123826,34.2595786,135.1501175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
SSS進学教室 千旦団地前教室,和歌山県和歌山市祢宜1589,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123986,34.243114,135.2448729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市祢宜,和佐地区,第4ブロック,東部地域,5
ＡＢＥＬ総合進学塾,和歌山県和歌山市湊通丁南1丁目1－2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032903,34.2240009,135.1689901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市湊通丁南1,雄湊地区,第9ブロック,中心部地域,1
WAKAYAMA Continental Family,和歌山県和歌山市伝法橋南ノ丁7,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123985,34.2303678,135.1707405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市伝法橋南ノ丁,雄湊地区,第9ブロック,中心部地域,1
学習塾リーフ,和歌山県和歌山市和歌浦東2丁目8－20,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032717,34.1903701,135.1750948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市和歌浦東1,和歌浦地区,第7ブロック,南部地域,7
個別指導Ｗａｍ／六十谷校,和歌山県和歌山市六十谷748－201,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032623,34.2621848,135.2028755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市六十谷,有功地区,第3ブロック,北東部地域,4
パルポート／紀の川,和歌山県和歌山市栄谷125,,,,https://sp-sukusuku.jp/kyoushitsu/s18000051120,34.2575243,135.1548231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
明星塾／西浜教室,和歌山県和歌山市西浜3丁目4－28,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032674,34.2024598,135.1631734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
進学教室アシスト,和歌山県和歌山市松江北7丁目10－12,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032705,34.2529235,135.1243663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市松江北1,松江地区,第1ブロック,北西部地域,2
東進衛星予備校 和歌山駅前校,和歌山県和歌山市太田1-13-15,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123673,34.232108,135.1936775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
個別指導Ｗａｍ／四箇郷校,和歌山県和歌山市加納203－3－105,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032831,34.24516820000001,135.205582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市加納,四箇郷地区,第4ブロック,東部地域,5
スタッド 木の本教室,和歌山県和歌山市木ノ本686,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123961,34.261997,135.12274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
ヤマハ音楽教室服部楽器福島センター,和歌山県和歌山市福島318,,,,https://sp-sukusuku.jp/kyoushitsu/s18000048818,34.2496559,135.165193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市福島,野崎地区,第2ブロック,北部地域,3
進学塾テラ（ＴＥＲＲＡ）有本教室,和歌山県和歌山市有本226－28,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032757,34.2465832,135.1974332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
ＰａｔｒｉｃｋのＧｏｏｄｙＥｎｇｌｉｓｈ英会話和歌山教室・貴志川教室,和歌山県和歌山市神前675－5,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032555,34.209216,135.2125174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市神前,岡崎地区,第5ブロック,南東部地域,6
トップウェルネス和歌山,和歌山県和歌山市北出島1丁目5－48,,,,https://sp-sukusuku.jp/kyoushitsu/s18000051124,34.2220018,135.1901996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市北出島,宮地区,第6ブロック,中心部地域,1
和歌山県合気道連盟,和歌山県和歌山市三葛364,,,,https://sp-sukusuku.jp/kyoushitsu/s18000002281,34.1924567,135.1890287,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,和歌山県和歌山市三葛,名草地区,第7ブロック,南部地域,7
公文式楠見東教室,和歌山県和歌山市善明寺176－2,,,,https://sp-sukusuku.jp/kyoushitsu/s18000032923,34.2566027,135.1812055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,和歌山県和歌山市善明寺,楠見地区,第2ブロック,北部地域,3
島村楽器音楽教室イオンモール和歌山店,和歌山県和歌山市中,,,,https://sp-sukusuku.jp/kyoushitsu/s18000123678,34.2755306,135.1492484,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市中,貴志地区,第2ブロック,北部地域,3
和歌山キンダースクール,和歌山県和歌山市築港3丁目20－4,,,,https://sp-sukusuku.jp/kyoushitsu/s18000053606,34.2225429,135.1546239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市築港1,砂山地区,第8ブロック,中心部地域,1
COCO塾ジュニア　湊ジュニア教室・堀止西ジュニア教室 他,和歌山県和歌山市湊584-34・堀止西1-1-41・,,,,https://sp-sukusuku.jp/kyoushitsu/s18000124010,34.2155707,135.1688789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
アトリエ・リーフ,和歌山県和歌山市和歌浦東2丁目8－20,,,,https://sp-sukusuku.jp/kyoushitsu/s18000044153,34.1903701,135.1750948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,和歌山県和歌山市和歌浦東1,和歌浦地区,第7ブロック,南部地域,7
